Strategy,Environment,Agents,Trials,WarmUpEpisodesPerTrial,SuccessRate,SuccessRateStd,SuccessRateCI95Lower,SuccessRateCI95Upper,NormReturn,NormReturnStd,NormReturnCI95Lower,NormReturnCI95Upper,Makespan,MakespanStd,MakespanCI95Lower,MakespanCI95Upper,ActionEfficiency,ActionEfficiencyStd,ManagerUtil,ManagerUtilStd,DelegationSuccess,DelegationSuccessStd,MessagesPerEp,MessagesPerEpStd,BytesPerStep,BytesPerStepStd,CoordLatency,CoordLatencyStd
peer_to_peer,task_distribution,12,5,1,1.0,0.0,1.0,1.0,0.9426,0.0004743416490252398,0.9421842212126623,0.9430157787873377,14.92,1.4652644812456217,13.635639053848179,16.20436094615182,35.808,3.5166347549894916,0.0,0.0,1.0,0.0,171.64,9.425921705594634,1154.6835981047936,55.866140375609746,0.00014384222542867064,1.000375145698773e-05
peer_to_peer,resource_allocation,3,5,1,0.96,0.0547722557505166,0.9119900010414497,1.0080099989585503,0.513,0.04944694126030446,0.4696578450005079,0.5563421549994921,24.16,0.8506206884126174,23.414398092515555,24.905601907484446,16.32,2.461097316239243,0.0,0.0,1.0,0.0,45.4,3.203123475609394,168.51465531166724,13.394643880728148,4.9695253061751524e-05,1.6868620699960157e-06
peer_to_peer,resource_allocation,5,5,1,0.66,0.0894427190999916,0.5816,0.7384000000000001,0.5556,0.08010493118404133,0.4853849319875,0.6258150680125,13.975,0.8876075834636739,13.196977649564115,14.753022350435884,43.18,8.154875842095942,0.0,0.0,1.0,0.0,94.1,8.898033490609034,221.78329596072214,25.905531348487838,8.993798634037376e-05,3.5871467241946922e-06
peer_to_peer,resource_allocation,8,5,1,0.72,0.10954451150103325,0.6239800020828994,0.8160199979171006,0.564,0.12581732790041283,0.45371624961038,0.67428375038962,14.955555555555556,1.627909144707258,13.528630276122039,16.38248083498907,61.92,15.807643720681462,0.0,0.0,1.0,0.0,150.68,17.468600401863913,404.82959379125936,79.02790717016973,0.00011783255427144468,5.901551339716794e-06
peer_to_peer,resource_allocation,12,5,1,0.5599999999999999,0.11401754250991378,0.46005921753358137,0.6599407824664185,0.526,0.09396807968666808,0.4436333465533533,0.6083666534466468,14.209047619047618,0.6944026291265527,13.600376877914853,14.817718360180384,124.60799999999999,23.88114570115931,0.0,0.0,1.0,0.0,258.04,24.976148622235577,504.2184121349558,47.979010791882246,0.00017913094582036138,1.1553616104820582e-05
peer_to_peer,collaborative,3,5,1,1.0,0.0,1.0,1.0,10.2525,0.9240840059215397,9.442504655568934,11.062495344431065,42.58,2.0873428084528896,40.75036335847797,44.40963664152203,25.548,1.2524056850717344,0.0,0.0,0.7142857142857143,0.0,199.96,10.54575744079106,469.7122629067185,14.823170828106722,0.0004897187859751284,2.0640235125478236e-05
peer_to_peer,collaborative,5,5,1,1.0,0.0,1.0,1.0,10.373000000000001,1.4587734573949447,9.094328687113066,11.651671312886936,45.019999999999996,3.1075713990188554,42.296093569889,47.74390643011099,45.019999999999996,3.1075713990188554,0.0,0.0,0.5555555555555556,0.0,530.3,31.526972579047296,1178.7868409203631,31.166118886191246,0.0014029233308974654,7.659052272779537e-05
peer_to_peer,collaborative,8,5,1,1.0,0.0,1.0,1.0,9.9085,0.6739913760575871,9.317720511019552,10.499279488980449,42.04,2.0082330542046156,40.27970611544549,43.800293884554506,67.264,3.213172886727384,0.0,0.0,0.5555555555555556,0.0,767.48,42.57548590444977,1825.0974072701931,21.37085142717086,0.0017200159605126827,0.00010104984126299992
peer_to_peer,collaborative,12,5,1,1.0,0.0,1.0,1.0,9.61,0.9832328691617263,8.748158391002152,10.471841608997847,42.04,2.016928357676593,40.272084345903345,43.807915654096654,100.896,4.840628058423824,0.0,0.0,0.5555555555555556,0.0,1171.72,59.20635101068129,2787.500471591641,66.14352168500024,0.002402505366364494,0.0001147552546519091
peer_to_peer,fault_recovery,3,5,1,0.04,0.05477225575051661,-0.008009998958550285,0.08800999895855029,1.913,1.7656889590185472,0.36530538852136596,3.460694611478634,8.8,12.049896265113654,-1.762199770881061,19.362199770881062,0.9440000000000001,0.3166701754191575,0.0,0.0,0.05312046444121916,0.03127376150726487,2.68,0.8955445270895244,2.796746203904555,1.0310643958446823,5.7572974862220385e-05,2.0480783425202976e-05
peer_to_peer,fault_recovery,5,5,1,0.26,0.28809720581775866,0.0074716649561875625,0.5125283350438125,3.1870000000000003,1.7308834449494284,1.6698137667379132,4.704186233262087,13.17142857142857,8.54842150365093,5.678406751094669,20.664450391762472,3.8880000000000003,3.16637331974611,0.0,0.0,0.23099989910200786,0.20336512989212313,16.12,12.145863493387369,28.928097505911847,33.98728847335503,7.526662685753156e-05,1.0916468091365777e-05
peer_to_peer,fault_recovery,8,5,1,0.4,0.1,0.3123461352820083,0.48765386471799177,2.2,1.750292832642584,0.665800688306764,3.7341993116932364,17.946666666666665,3.106051441228164,15.224092538301297,20.66924079503203,6.868,1.696855916098948,0.0,0.0,0.30780740922250355,0.08343805340654294,31.64,7.3248208169210525,48.300315473695306,15.534486980343477,9.54436053228625e-05,4.935433718986721e-06
